park_name,acres,latitude,longitude,state_long,meters_sq,count_mammal,count_bird,count_reptile,count_amphibian,count_fish,count_insect,count_arachnid,count_gastropod,count_shellfish,count_other,count_vascular,count_nonvascular,count_algae,count_fungi,count_animals,count_vert,count_invert,count_plants,animals_native_total,animals_native_percent,animals_endanger,rank_mammal,rank_bird,rank_reptile,rank_amphibian,rank_fish
Parque nacional de las Cascadas del Norte,504781,48.7,-121.2,Washington,2042778038,79,226,10,12,33,559,42,0,0,0,1478,385,0,539,961,360,601,1863,690,71.8,8,14,32,24,14,22
Parque nacional Olympic,922651,47.97,-123.5,Washington,3733839426,80,310,6,16,97,87,0,0,0,0,1352,0,0,0,596,509,87,1352,552,92.6,9,13,11,27,11,9
Parque nacional del Bosque Petrificado,93533,35.07,-109.78,Arizona,378514956.4,62,244,21,8,0,0,0,0,0,0,516,1,0,1,335,335,0,517,330,98.5,4,25,25,19,17,47
Parque nacional Pinnacles,26606,36.48,-121.16,California,107670757.2,60,170,29,10,6,323,10,11,8,31,731,0,0,27,658,275,383,731,327,49.7,2,26,45,15,15,42
Parque nacional Redwood,112512,41.3,-124,California,455320312.3,154,501,39,33,247,744,7,147,122,334,2257,251,111,1585,2328,974,1354,2508,619,26.6,27,2,2,12,5,6
Parque nacional de las Montañas Rocosas,265828,40.4,-105.58,Colorado,1075768700,74,277,3,5,12,676,22,10,39,48,1114,416,150,606,1166,371,795,1530,481,41.3,4,17,14,30,20,37
Parque nacional Saguaro,91440,32.25,-110.5,Arizona,370044878.4,102,246,62,10,0,0,0,0,1,0,1411,0,0,2,421,420,1,1411,363,86.2,3,5,23,3,15,47
Parque nacionales de las Secuoyes y Cañón de los Reyes,865952,36.43,-118.68,California,3504386511,89,220,24,13,19,0,0,0,0,0,1630,0,0,0,365,365,0,1630,303,83,5,10,35,16,13,31
Parque nacional Shenandoah,199045,38.53,-78.35,Virginia,805507248.7,63,268,38,40,41,318,4,2,3,2,2761,350,0,765,779,450,329,3111,421,54,3,24,17,13,4,20
Parque nacional Theodore Roosevelt,70447,46.97,-103.45,North Dakota,285089146.4,66,223,13,8,32,73,2,2,1,3,680,61,0,1,423,342,81,741,322,76.1,4,22,33,21,17,23
Parque nacional Voyageurs,218200,48.5,-92.88,Minnesota,883024852,63,238,6,15,58,33,0,0,0,7,1019,11,0,3,420,380,40,1030,384,91.4,3,24,28,27,12,15
Parque nacional Wind Cave,28295,43.57,-103.48,South Dakota,114505903.7,89,235,12,7,8,105,0,25,0,0,871,0,0,43,481,351,130,871,330,68.6,4,10,30,22,18,41
Parque nacional y reserva Wrangell-San Elías,8323148,61,-142,Alaska,33682614715,62,211,1,2,93,58,0,1,0,4,1357,7,0,0,432,369,63,1364,421,97.5,8,25,37,31,23,10
Parque nacional de Yellowstone,2219791,44.6,-110.5,Wyoming | Montana | Idaho,8983183406,78,330,9,9,19,1628,43,59,63,78,1420,15,204,419,2316,445,1871,1435,860,37.1,4,15,10,25,16,31
Parque nacional de Yosemite,761266,37.83,-119.5,California,3080736925,88,270,22,15,10,0,0,0,0,0,1683,0,0,0,405,405,0,1683,364,89.9,9,11,16,18,12,39
Parque nacional Zion,146598,37.3,-113.05,Utah,593261582.3,80,301,30,7,15,0,0,0,0,0,1363,0,0,0,433,433,0,1363,418,96.5,7,13,12,14,18,34
